area,main_url,page_on,plce,title,community,position,tag,re_price,unit_price,housetype,housesize,direction,fitment
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,檀香府南北通透精装修大三居视野宽阔,檀香府 ,门头沟其它,VR看装修|房本满五年|随时看房,525,40289,3室1厅 , 130.31 , 南 北 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,冯村信园小区，精装修两居室，中楼层,冯村信园小区 ,冯村,VR看装修|房本满五年,270,37480,2室1厅 , 72.04 , 南 北 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,梧桐苑清露园南向两居室诚心出售,梧桐苑清露园 ,上岸地铁,VR看装修|房本满五年|随时看房,365,43303,2室1厅 , 84.29 , 南 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,桥东街小区 精装修 单位分房 双卧朝南 采光好 诚心卖,桥东街小区 ,城子,VR看装修|房本满五年|随时看房,176,35165,2室1厅 , 50.05 , 南 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,增产路 业主换房出售 看房随时,增产路 ,大峪,VR看装修|房本满五年|随时看房,153,27533,2室1厅 , 55.57 , 西 , 简装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,此房朝南 正规的一室一厅 小区前面就是公园,向阳东里 ,城子,VR房源|房本满五年|随时看房,157,36546,1室1厅 , 42.96 , 南 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,承泽苑 2室1厅 东 西,承泽苑 ,滨河西区,VR看装修|房本满五年|随时看房,299,37887,2室1厅 , 78.92 , 东 西 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,长安街沿线二居室满五唯一商品房,冯村信园小区 ,冯村,VR房源|房本满五年|随时看房,220,30548,2室1厅 , 72.02 , 南 北 , 简装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,阁外山水、小两居采光好、视野开阔 景色优美,阁外山水 ,城子,VR房源|房本满五年|随时看房,265,38794,2室1厅 , 68.31 , 东 西 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,桃园小区正规两居室 南北通透客厅大房龄新,桃园小区 ,大峪,VR房源|房本满五年|随时看房,230,30643,2室1厅 , 75.06 , 南 北 , 简装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,梧桐苑栖凤园 南北通透 三居室 此房没住过,梧桐苑栖凤园 ,上岸地铁,VR看装修|房本满五年|随时看房,435,48588,3室2厅 , 89.53 , 南 北 , 毛坯 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,滨河居住区临镜苑带电梯纯南向两居室,临镜苑 ,滨河西区,VR房源|房本满五年,382,44884,2室1厅 , 85.11 , 南 , 简装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,冯村信园 精装修 南北通透  满五唯一  无浪费空间,冯村信园小区 ,冯村,VR看装修|房本满五年,310,30800,3室1厅 , 100.65 , 南 北 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,"滨河居住区临镜苑,南北通透两居室",临镜苑 ,滨河西区,VR看装修|房本满五年,420,46058,2室1厅 , 91.19 , 南 北 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,临镜苑 3室1厅 南 北,临镜苑 ,滨河西区,VR看装修|房本满五年,549,46498,3室1厅 , 118.07 , 南 北 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,峪园小区 三居室 南北通透 满五唯一,峪园小区 ,大峪,VR看装修|房本满五年,208,30224,2室1厅 , 68.82 , 南 北 , 简装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,龙泉花园6+7复式 满五唯一商品房,龙泉花园 ,城子,VR房源|房本满五年,319,33743,2室1厅 , 94.54 , 南 北 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,丽景长安 2室1厅 南,丽景长安 ,冯村,VR看装修|房本满五年|随时看房,374,42146,2室1厅 , 88.74 , 南 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,商品房 葡东小区满五唯一 客厅朝南采光充足 停车方便,葡东小区 ,滨河西区,VR看装修|房本满五年|随时看房,223,32989,2室1厅 , 67.6 , 南 , 简装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,金泰丽湾悦栖山 高层 双卧客厅朝南,金泰丽湾悦栖山 ,大峪,VR看装修|房本满五年|随时看房,728,42016,3室2厅 , 173.27 , 南 北 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,月季园南北两居室，明厨明卫全明格局,门头沟月季园 ,滨河西区,VR房源|房本满五年|随时看房,193,30147,2室1厅 , 64.02 , 南 北 , 简装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,含晖苑 2室2厅 南 北,含晖苑 ,滨河西区,VR看装修|房本满五年,302,33445,2室2厅 , 90.3 , 南 北 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,大峪南路 3室1厅 南 北,大峪南路 ,大峪,VR看装修|房本满两年,266,37455,3室1厅 , 71.02 , 南 北 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,月季园纯南户型  满五唯一  装修保持很好,门头沟月季园 ,滨河西区,VR房源|房本满五年,146,31885,1室1厅 , 45.79 , 南 , 精装 
